,week,region,cases
790,15,Toluca Terrace,0
791,15,Toluca Woods,0
792,15,Torrance,833
793,15,Tujunga,97
794,15,University Hills,0
795,15,University Park,158
796,15,Valinda,53
797,15,Valley Glen,207
798,15,Valley Village,228
799,15,Van Nuys,450
800,15,Venice,218
801,15,Vermont Knolls,103
802,15,Vermont Square,89
803,15,Vermont Vista,136
804,15,Vernon,0
805,15,Vernon Central,221
806,15,Victoria Park,106
807,15,View Heights,0
808,15,Walnut,77
809,15,Watts,156
810,15,Wellington Square,0
811,15,West Adams,230
812,15,West Covina,168
813,15,West Hills,146
814,15,West Hollywood,686
815,15,West Los Angeles,234
816,15,West Vernon,350
817,15,West Whittier/Los Nietos,68
818,15,Westchester,203
819,15,Westlake,314
820,15,Westlake Village,28
821,15,Westwood,220
822,15,Whittier,272
823,15,Wholesale District,112
824,15,Willowbrook,157
825,15,Wilmington,181
826,15,Wilshire Center,258
827,15,Winnetka,283
828,15,Woodland Hills,419
829,16,Acton,15
830,16,Adams-Normandie,111
831,16,Agoura Hills,154
832,16,Alhambra,270
833,16,Alsace,55
834,16,Altadena,281
835,16,Angeles National Forest,0
836,16,Angelino Heights,0
837,16,Arcadia,179
838,16,Arleta,248
839,16,Artesia,52
840,16,Atwater Village,68
841,16,Avalon,0
842,16,Azusa,163
843,16,Baldwin Hills,254
844,16,Baldwin Park,246
845,16,Bassett,117
846,16,Bel Air,151
847,16,Bell,465
848,16,Bell Gardens,300
849,16,Bellflower,403
850,16,Beverly Crest,185
851,16,Beverly Hills,544
852,16,Beverlywood,154
853,16,Boyle Heights,459
854,16,Bradbury,0
855,16,Brentwood,398
856,16,Brookside,0
857,16,Burbank,829
858,16,Cadillac-Corning,52
859,16,Calabasas,180
860,16,Canoga Park,659
861,16,Canyon Country,102
862,16,Carson,1225
863,16,Carthay,264
864,16,Castaic,65
865,16,Central,359
866,16,Century City,186
867,16,Century Palms/Cove,229
868,16,Cerritos,244
869,16,Chatsworth,280
870,16,Cheviot Hills,83
871,16,Chinatown,0
872,16,Claremont,95
873,16,Cloverdale/Cochran,89
874,16,Commerce,21
875,16,Compton,627
876,16,Country Club Park,201
877,16,Covina,533
878,16,Crenshaw District,158
879,16,Crestview,313
880,16,Cudahy,173
881,16,Culver City,465
882,16,Del Rey,253
883,16,Diamond Bar,152
884,16,Downey,801
885,16,Downtown,198
886,16,Duarte,171
887,16,Eagle Rock,331
888,16,East Hollywood,399
889,16,East Los Angeles,801
890,16,Echo Park,69
891,16,El Monte,279
892,16,El Segundo,123
893,16,El Sereno,315
894,16,Elysian Park,37
895,16,Elysian Valley,66
896,16,Encino,396
897,16,Exposition,0
898,16,Exposition Park,413
899,16,Faircrest Heights,0
900,16,Figueroa Park Square,69
901,16,Florence-Firestone,1040
902,16,Gardena,613
903,16,Glassell Park,464
904,16,Glendale,2058
905,16,Glendora,186
906,16,Gramercy Place,86
907,16,Granada Hills,384
908,16,Green Meadows,134
909,16,Hacienda Heights,233
910,16,Hancock Park,357
911,16,Harbor City,175
912,16,Harbor Gateway,245
913,16,Harbor Pines,0
914,16,Harvard Heights,173
915,16,Harvard Park,237
916,16,Hawaiian Gardens,12
917,16,Hawthorne,742
918,16,Hermosa Beach,124
919,16,Hidden Hills,0
920,16,Highland Park,292
921,16,Historic Filipinotown,168
922,16,Hollywood,874
923,16,Hollywood Hills,331
924,16,Huntington Park,343
925,16,Hyde Park,167
926,16,Industry,0
927,16,Inglewood,971
928,16,Irwindale,0
929,16,Jefferson Park,20
930,16,Koreatown,424
931,16,La Canada Flintridge,249
932,16,La Habra Heights,0
933,16,La Mirada,208
934,16,La Puente,146
935,16,La Verne,69
936,16,Lafayette Square,51
937,16,Lake Balboa,286
938,16,Lake Los Angeles,38
939,16,Lakeview Terrace,134
940,16,Lakewood,314
941,16,Lancaster,789
942,16,Lawndale,225
943,16,Leimert Park,176
944,16,Lincoln Heights,156
945,16,Little Armenia,362
946,16,Little Bangladesh,266
947,16,Little Tokyo,0
948,16,Lomita,170
949,16,Longwood,10
950,16,Los Feliz,149
951,16,Lynwood,620
952,16,Malibu,133
953,16,Manchester Square,0
954,16,Mandeville Canyon,0
955,16,Manhattan Beach,394
956,16,Mar Vista,261
957,16,Marina Peninsula,56
958,16,Maywood,219
959,16,Melrose,1550
960,16,Mid-city,177
961,16,Miracle Mile,150
962,16,Mission Hills,204
963,16,Monrovia,109
964,16,Montebello,456
965,16,Monterey Park,252
966,16,Mt. Washington,109
967,16,North Hills,392
968,16,North Hollywood,1037
969,16,Northridge,436
970,16,Norwalk,638
971,16,Pacific Palisades,228
972,16,Pacoima,479
973,16,Palisades Highlands,0
974,16,Palmdale,879
975,16,Palms,492
976,16,Palos Verdes Estates,252
977,16,Panorama City,564
978,16,Paramount,359
979,16,Park La Brea,69
980,16,Pasadena,47
981,16,Pico Rivera,501
982,16,Pico-Union,493
983,16,Playa Del Rey,0
984,16,Playa Vista,120
985,16,Pomona,437
986,16,Porter Ranch,225
987,16,Rancho Palos Verdes,318
988,16,Rancho Park,56
989,16,Redondo Beach,591
990,16,Regent Square,0
991,16,Reseda,610
992,16,Reseda Ranch,63
993,16,Reynier Village,39
994,16,Rolling Hills,0
995,16,Rolling Hills Estates,80
996,16,Rosemead,111
997,16,Rowland Heights,147
998,16,San Dimas,130
999,16,San Fernando,198
1000,16,San Gabriel,104
1001,16,San Marino,54
1002,16,San Pedro,471
1003,16,Santa Clarita,1236
1004,16,Santa Fe Springs,67
1005,16,Santa Monica,719
1006,16,Santa Monica Mountains,3234
1007,16,Shadow Hills,49
1008,16,Sherman Oaks,593
1009,16,Sierra Madre,0
1010,16,Signal Hill,30
1011,16,Silverlake,596
1012,16,South Carthay,142
1013,16,South El Monte,49
1014,16,South Gate,818
1015,16,South Park,332
1016,16,South Pasadena,146
1017,16,South Whittier,223
1018,16,St Elmo Village,0
1019,16,Stevenson Ranch,82
1020,16,Studio City,157
1021,16,Sun Valley,323
1022,16,Sunland,252
1023,16,Sycamore Square,0
1024,16,Sylmar,900
1025,16,Tarzana,340
1026,16,Temple City,134
1027,16,Temple-Beaudry,421
1028,16,Thai Town,69
1029,16,Toluca Lake,49
1030,16,Toluca Terrace,0
1031,16,Toluca Woods,0
1032,16,Torrance,1184
1033,16,Tujunga,149
1034,16,University Hills,0
1035,16,University Park,205
1036,16,Valinda,123
1037,16,Valley Glen,265
1038,16,Valley Village,292
1039,16,Van Nuys,732
1040,16,Venice,238
1041,16,Vermont Knolls,142
1042,16,Vermont Square,132
1043,16,Vermont Vista,221
1044,16,Vernon,0
1045,16,Vernon Central,342
1046,16,Victoria Park,129
1047,16,View Heights,30
1048,16,Walnut,98
1049,16,Watts,233
1050,16,Wellington Square,12
1051,16,West Adams,374
1052,16,West Covina,357
1053,16,West Hills,180
1054,16,West Hollywood,742
1055,16,West Los Angeles,259
1056,16,West Vernon,587
1057,16,West Whittier/Los Nietos,115
1058,16,Westchester,278
1059,16,Westlake,629
1060,16,Westlake Village,42
1061,16,Westwood,256
1062,16,Whittier,414
1063,16,Wholesale District,194
1064,16,Willowbrook,227
1065,16,Wilmington,290
1066,16,Wilshire Center,391
1067,16,Winnetka,413
1068,16,Woodland Hills,539
1069,17,Acton,80
1070,17,Adams-Normandie,140
1071,17,Alsace,149
1072,17,Altadena,382
1073,17,Angeles National Forest,0
1074,17,Angelino Heights,30
1075,17,Arleta,469
1076,17,Atwater Village,133
1077,17,Avalon,4
1078,17,Azusa,77
1079,17,Baldwin Hills,329
1080,17,Bassett,307
1081,17,Bel Air,189
1082,17,Bellflower,0
1083,17,Beverly Crest,218
1084,17,Beverly Hills,104
1085,17,Beverlywood,207
1086,17,Boyle Heights,935
1087,17,Bradbury,1
1088,17,Brentwood,432
